zip,rent,sqm_rent,living_space,offer_year,const_year,flattype,interior_qual
10961,1265.0,19.00826446280992,66.55,2019,1898,apartment,sophisticated
12555,683.0,13.519398258115597,50.52,2019,2014,apartment,sophisticated
13125,750.0,8.936018110330036,83.93,2019,1997,apartment,normal
10823,3700.0,15.811965811965813,234.0,2019,1900,loft,sophisticated
10115,1500.0,22.058823529411764,68.0,2019,2013,apartment,luxury
13156,669.8,8.5,78.8,2019,1991,apartment,normal
10629,1500.0,15.723270440251572,95.4,2018,1905,apartment,sophisticated
12047,2124.5,19.85514018691589,107.0,2019,2018,apartment,luxury
13187,783.0,9.456521739130435,82.8,2019,1900,apartment,sophisticated
12279,782.16,11.999999999999998,65.18,2019,1990,apartment,normal
10245,662.83,6.699989891842717,98.93,2019,1900,apartment,normal
12167,1400.0,11.666666666666666,120.0,2019,1964,roof_storey,sophisticated
12683,685.0,10.96,62.5,2018,2017,apartment,sophisticated
13585,381.0,10.07936507936508,37.8,2019,1910,apartment,sophisticated
10713,1850.0,13.214285714285714,140.0,2019,1856,apartment,sophisticated
12051,1484.8,16.0,92.8,2019,2018,apartment,sophisticated
12205,499.0,14.236804564907276,35.05,2018,1930,apartment,sophisticated
10178,1900.0,17.674418604651162,107.5,2019,1890,roof_storey,luxury
13127,495.0,9.0,55.0,2018,2012,ground_floor,sophisticated
13125,655.25,8.54525299947835,76.68,2018,1998,apartment,normal
13509,1495.0,9.228395061728396,162.0,2019,1914,apartment,sophisticated
12279,796.0,10.0,79.6,2019,1974,apartment,normal
14199,2029.0,18.001951911986517,112.71,2019,1900,roof_storey,sophisticated
12049,1134.0,14.0,81.0,2018,1904,apartment,normal
10178,2179.35,14.499999999999998,150.3,2018,2004,apartment,luxury
10777,2090.0,11.0,190.0,2019,1901,apartment,sophisticated
13189,838.77,9.330033370411568,89.9,2019,1997,apartment,normal
12045,842.0,11.931415615700724,70.57,2019,1920,apartment,sophisticated
14057,1967.0,11.523140011716462,170.7,2019,1907,apartment,sophisticated
14193,5950.0,19.508196721311474,305.0,2019,1909,raised_ground_floor,sophisticated
13407,749.0,9.602564102564102,78.0,2018,1900,ground_floor,normal
13158,1899.0,12.493421052631579,152.0,2019,2010,maisonette,sophisticated
14195,1006.75,15.901911230453324,63.31,2019,2019,apartment,luxury
12203,2290.0,12.636574329544201,181.22,2019,2011,penthouse,luxury
10777,1248.0,16.0,78.0,2019,2019,apartment,sophisticated
12559,579.0,9.65,60.0,2019,1997,apartment,normal
14057,2020.0,15.538461538461538,130.0,2019,1900,apartment,luxury
13353,485.0,17.321428571428573,28.0,2019,2019,apartment,sophisticated
13088,1170.0,13.448275862068966,87.0,2018,2018,apartment,sophisticated
12101,931.0,9.499030711151923,98.01,2019,1925,apartment,sophisticated
10711,1030.82,13.899946062567421,74.16,2018,2016,apartment,sophisticated
